Brand,Year,Driven_kms,Fuel_Type,Transmission,Seller_Type,Owner,City,Selling_Price_Lakh
Tata,2023,120255,Petrol,Automatic,Dealer,1,Chennai,3.54
Maruti,2010,192705,CNG,Manual,Dealer,1,Delhi,0.5
Maruti,2014,168980,CNG,Automatic,Dealer,1,Hyderabad,0.5
Kia,2023,107210,Petrol,Automatic,Individual,2,Mumbai,5.55
Renault,2009,48862,Electric,Automatic,Individual,0,Pune,1.35
Renault,2021,88770,Petrol,Automatic,Individual,1,Hyderabad,2.85
Tata,2013,174779,CNG,Automatic,Individual,2,Kolkata,0.5
Renault,2014,125451,Electric,Automatic,Individual,2,Delhi,1.3
Renault,2010,12448,CNG,Manual,Individual,1,Kolkata,0.5
Maruti,2016,64411,Diesel,Automatic,Individual,2,Mumbai,0.71
Maruti,2012,112215,CNG,Manual,Individual,2,Kolkata,0.5
Mahindra,2014,91833,Petrol,Automatic,Dealer,1,Ahmedabad,0.89
Volkswagen,2016,32049,Petrol,Automatic,Dealer,2,Delhi,5.24
Volkswagen,2015,181687,Electric,Manual,Dealer,1,Bangalore,3.02
Volkswagen,2024,152892,Diesel,Manual,Individual,1,Chennai,5.94
Maruti,2008,87070,Electric,Manual,Individual,2,Bangalore,0.5
Maruti,2021,79749,Electric,Automatic,Individual,2,Mumbai,2.9
Kia,2020,148283,CNG,Manual,Individual,2,Mumbai,1.43
Volkswagen,2012,89622,Petrol,Automatic,Dealer,0,Mumbai,3.6
Toyota,2016,98095,Petrol,Manual,Dealer,2,Bangalore,1.22
Maruti,2022,101402,Diesel,Manual,Dealer,0,Chennai,3.21
Maruti,2013,50422,Diesel,Manual,Dealer,0,Bangalore,0.5
Maruti,2013,168756,Petrol,Manual,Individual,1,Ahmedabad,0.5
Volkswagen,2021,96267,CNG,Manual,Dealer,0,Kolkata,5.14
Honda,2023,97389,Electric,Automatic,Dealer,2,Chennai,6.67
Volkswagen,2023,36453,CNG,Manual,Individual,1,Delhi,6.91
Renault,2016,91910,Electric,Automatic,Dealer,1,Kolkata,2.35
Maruti,2018,145375,Electric,Automatic,Dealer,0,Mumbai,2.81
Volkswagen,2011,106831,Petrol,Manual,Dealer,2,Delhi,0.5
Maruti,2010,155477,Electric,Manual,Individual,0,Chennai,0.5
Honda,2013,179939,Petrol,Automatic,Individual,2,Kolkata,0.5
Renault,2017,182644,Electric,Automatic,Dealer,0,Hyderabad,3.59
Maruti,2012,149774,Petrol,Automatic,Individual,1,Chennai,0.5
Volkswagen,2018,129034,Electric,Automatic,Dealer,0,Mumbai,7.34
Maruti,2019,40092,Electric,Manual,Individual,2,Mumbai,2.41
Maruti,2020,16257,Electric,Automatic,Dealer,1,Delhi,4.05
Volkswagen,2022,47588,Petrol,Manual,Dealer,0,Chennai,7.59
Toyota,2010,108376,Diesel,Automatic,Individual,1,Hyderabad,1.09
Volkswagen,2020,195178,Diesel,Automatic,Individual,2,Delhi,4.41
Renault,2016,17043,Petrol,Automatic,Dealer,1,Kolkata,2.14
Toyota,2013,130796,CNG,Automatic,Individual,0,Chennai,2.71
Tata,2014,131583,Diesel,Manual,Dealer,0,Delhi,0.5
Volkswagen,2017,194337,Electric,Automatic,Dealer,2,Ahmedabad,5.03
Skoda,2009,98240,Electric,Automatic,Individual,2,Hyderabad,3.18
Tata,2020,65632,Electric,Automatic,Dealer,1,Delhi,4.18
Kia,2013,171493,CNG,Manual,Dealer,0,Delhi,0.5
Renault,2013,111219,Diesel,Manual,Dealer,0,Chennai,0.5
Skoda,2021,124863,Electric,Automatic,Individual,2,Hyderabad,8.26
Tata,2010,145875,Electric,Manual,Individual,1,Ahmedabad,0.5
Tata,2021,133285,Electric,Manual,Dealer,0,Hyderabad,2.92
Skoda,2009,14224,Petrol,Manual,Dealer,0,Ahmedabad,2.95
Maruti,2022,37579,CNG,Manual,Individual,1,Mumbai,1.24
Kia,2024,186628,CNG,Manual,Dealer,2,Kolkata,1.96
Hyundai,2023,85239,CNG,Automatic,Dealer,2,Kolkata,2.93
Renault,2010,40769,CNG,Manual,Dealer,0,Hyderabad,0.5
Renault,2010,62558,Electric,Automatic,Dealer,2,Hyderabad,0.73
Mahindra,2019,150764,Petrol,Automatic,Individual,1,Kolkata,1.82
Maruti,2014,54969,CNG,Manual,Individual,1,Delhi,0.5
Honda,2023,137756,Electric,Manual,Individual,2,Kolkata,5.3
Tata,2017,79919,CNG,Manual,Individual,1,Bangalore,0.5
Skoda,2009,54039,Petrol,Manual,Individual,2,Delhi,0.55
Mahindra,2020,44658,CNG,Automatic,Dealer,2,Mumbai,2.94
Mahindra,2013,9570,Electric,Manual,Dealer,0,Hyderabad,2.9
Volkswagen,2018,100792,Petrol,Automatic,Individual,2,Hyderabad,4.29
Skoda,2010,138924,Diesel,Manual,Individual,1,Mumbai,1.82
Tata,2017,64953,Electric,Automatic,Individual,2,Bangalore,3.7
Kia,2008,147089,Diesel,Manual,Individual,2,Bangalore,0.5
Maruti,2017,175582,CNG,Manual,Individual,0,Kolkata,0.5
Volkswagen,2013,81703,Electric,Automatic,Individual,2,Chennai,5.36
Skoda,2022,61530,CNG,Automatic,Dealer,0,Bangalore,7.65
Hyundai,2022,29508,Diesel,Manual,Individual,2,Kolkata,3.34
Skoda,2024,158590,Petrol,Manual,Dealer,0,Delhi,7.39
Mahindra,2024,82320,Electric,Manual,Dealer,0,Kolkata,6.75
Toyota,2024,5606,Diesel,Automatic,Individual,2,Delhi,9.3
Skoda,2022,149380,Diesel,Manual,Dealer,2,Hyderabad,4.05
Maruti,2021,36015,Petrol,Automatic,Individual,0,Delhi,3.87
Renault,2015,63140,Electric,Manual,Individual,0,Hyderabad,2.5
Honda,2010,183001,Petrol,Manual,Dealer,2,Ahmedabad,0.5
Kia,2024,71481,Electric,Automatic,Dealer,1,Bangalore,8.47
Kia,2012,64192,Petrol,Manual,Dealer,1,Chennai,0.5
Honda,2011,133797,Petrol,Manual,Individual,0,Ahmedabad,0.5
Hyundai,2008,18445,Petrol,Manual,Individual,1,Delhi,0.5
Mahindra,2020,87811,CNG,Automatic,Dealer,2,Bangalore,3.12
Volkswagen,2023,145910,Petrol,Manual,Dealer,1,Pune,5.45
